挨著	挨着	āizhe	near
挨	挨	āi	in order, in sequence, close to, adjacent to, to suffer, to endure, to pull through (hard times), to delay, to stall, to play for time, to dawdle
安檢	安检	ānjiǎn	safety check
罷工	罢工	bàgōng	go on strike
挨打	挨打	ái dǎ	to take a beating, to get thrashed, to come under attack
白領	白领	báilǐng	white collar, business person
辦公	办公	bàn gōng	work (usu. in an office), transact, work, handle official business
百分點	百分点	bǎifēndiǎn	percentage point
辦學	办学	bàn xué	to run a school
辦事處	办事处	bànshìchù	office, agency
半決賽	半决赛	bànjuésài	semifinals
罷了	罢了	bàle	particle: elucidating a previous proposition so as to diminish its effect
保健	保健	bǎojiàn	health care, health protection, care for one's health
報刊	报刊	bàokān	newspapers and periodicals, the press
傍晚	傍晚	bàngwǎn	in the evening, when night falls, towards evening, at night fall, at dusk
暴風雨	暴风雨	bàofēngyǔ	rainstorm, storm, tempest
抱歉	抱歉	bàoqiàn	to be sorry, to feel apologetic, sorry!
暴露	暴露	bàolù	unmask, divulge, expose, develop, bewray, unhood, unhusk, uncover, lay bare, show_up, reveal, flash, uncase, debunk, discover, unkennel, revelation, betray, give_away, unveil
報考	报考	bàokǎo	enter oneself for an examination
爆	爆	bào	to explode or burst, to quick fry or quick boil
暴雨	暴雨	bàoyǔ	torrential rain, rainstorm, CL:場|场[chang2],陣|阵[zhen4]
爆炸	爆炸	bàozhà	explode, blow up
暴力	暴力	bàolì	violence, force
悲慘	悲惨	bēicǎn	tragic, pathetic, miserable
爆發	爆发	bàofā	erupt, burst/break out
背著	背着	bēizhe	Carry on
背心	背心	bèixīn	sleeveless garment (vest, waistcoat, singlet, tank top etc), CL:件[jian4]
本	本	běn	det.: this
奔跑	奔跑	bēnpǎo	to run
被告	被告	bèigào	tenant, indictee, accused, respondent, defendant, suspect, the accused, appellee
本期	本期	běnqī	the current period, this term (usually in finance)
本身	本身	běnshēn	per se, self, oneself, identity, itself
本質	本质	běnzhì	suchness, basic nature, intrinsic quality, substantial, essentiality, innate character, entity, essential quality, basics, inbeing, essential, nature, self, feather, intrinsic, quiddity, being, substance, metal, quintessence, principle, kind, hypostasis, essence, fiber, internal, spirit, inwardness, woof, basis, gist
本土	本土	běntǔ	mainland, native, one's native country, metropolitan territory, continent
逼	逼	bī	extort, press for, press on towards, drive, force, compel, close in on, press up to
本地	本地	běndì	local, this locality
必將	必将	bìjiāng	inevitably
筆試	笔试	bǐshì	written examination, paper test (for an applicant)
邊緣	边缘	biānyuán	margin, brink, periphery, bead, brim, borderline, skirt, lip, fringe, delimitation, flange, threshold, boundary line, perimeter, rand, outer boundary, hem, line, border, verge, marginality, marge, skirting, edging, edge, corner, rim
必修	必修	bìxiū	required/obligatory (course), obligatory, obligatory (course), required
閉	闭	bì	shut, stop, close, stop up, obstruct, switch off, obstruction, turn off, seel
扁	扁	biǎn	surname Pian, flat, (coll.) to beat (sb) up, old variant of 匾[bian3], small boat
編制	编制	biānzhì	authorized staff/force
變更	变更	biàngēng	change, modify
變形	变形	biàn xíng	deformation, to become deformed, to change shape, to morph
變換	变换	biànhuàn	to transform, to convert, to vary, to alternate, a transformation
便是	便是	biànshì	even if
便	便	biàn	as early as, soon afterwards, little as, as early, and then, and so, so, as early/little as, as little as, then, in that case
遍地	遍地	biàndì	everywhere, all over
表面上	表面上	biǎomiànshang	Surface on the surface
病情	病情	bìngqíng	patient's condition
撥打	拨打	bōdǎ	to call, to dial
病房	病房	bìngfáng	sickroom, ward, hospital ward, hospital room
波浪	波浪	bōlàng	wave
播	播	bō	to sow, to scatter, to spread, to broadcast, Taiwan pr. [bo4]
波動	波动	bōdòng	undulate, fluctuate
不見	不见	bùjiàn	not to see, not to meet, to have disappeared, to be missing
不便	不便	bùbiàn	inconvenient, inappropriate
不再	不再	bùzài	no more/longer
不料	不料	bùliào	unexpectedly
不至於	不至于	bùzhìyú	unlikely to go so far as to, not as bad as
補考	补考	bǔkǎo	to sit for a makeup exam, to resit an exam, makeup exam, resit
補習	补习	bǔxí	take lessons after school/work
補課	补课	bǔ kè	to make up missed lesson, to reschedule a class
補助	补助	bǔzhù	subsidize
不成	不成	bùchéng	won't do, unable to, (at the end of a rhetorical question) can that be?
捕	捕	bǔ	prawn, seizure, seize, arrest, catch
不禁	不禁	bùjīn	can't help (doing sth.)
不僅僅	不仅仅	bùjǐnjǐn	not only
不通	不通	bùtōng	to be obstructed, to be blocked up, to be impassable, to make no sense, to be illogical
不怎麼樣	不怎么样	bù zěnmeyàng	not up to much, very indifferent, nothing great about it, nothing good to be said about it
不值	不值	bùzhí	not worth
不怎麼	不怎么	bùzěnme	not very, not particularly
布滿	布满	bùmǎn	to be covered with, to be filled with
部隊	部队	bùduì	military personnel, troops, troop, regular army, soldiery, army, party, company
採納	采纳	cǎinà	to accept, to adopt
參賽	参赛	cān sài	take part in match, enter competition
踩	踩	cǎi	tread, tramp, tromp, scrunch, trample, walk, step, step on
參展	参展	cān zhǎn	participate in exhibition
餐	餐	cān	m.[event]
殘疾	残疾	cánji	disabled, handicapped, deformity on a person or animal
殘疾人	残疾人	cánjírén	disabled person
殘酷	残酷	cánkù	brutal, ruthless
倉庫	仓库	cāngkù	depot, storehouse, warehouse
慘	惨	cǎn	tragic, gloomy, savage, sorrowful, cruel, pitiful, miserable, dark
藏	藏	cáng	lay by, concealment, conceal, hide, store
操縱	操纵	cāozòng	operate, control, rig, manipulate
側	侧	cè	the side, to incline towards, to lean, inclined, lateral, side, lean on one side
廁所	厕所	cèsuǒ	john, W.C., can, jakes, lavatory, lav, cloaca, crapper, privy, water closet, bathroom, bog, washroom, closet, convenience, stool, rear, latrine, loo, facility, toilet, John, cloakroom
測定	测定	cèdìng	to survey and evaluate
策劃	策划	cèhuà	to plot, to scheme, to bring about, to engineer, planning, producer, planner
策略	策略	cèlüè	coup, resource, enginery, wile, stratagem, gambit, practice, plant, diplomacy, artifice, trap, twist, tactical manoeuver, policy, game, mechanism, game plan, ambush, chicanery, finesse, lying in wait, maneuvering, joker, tactics, gimmick, manoeuvering, plan, device, art, tactical maneuver, maneuver, measure, play, tactic, manoeuvre, mechanics, tack, ambuscade, trickery, strategy, setup, r
層面	层面	céngmiàn	storey, level, side, story, range, floor, coverage
差異	差异	chāyì	gap, departure, spread, variance, divergence, difference, diversity, discrepancy, imparity, disparity, contrast, interval, differentia, distinction
查出	查出	cháchū	find, look_up, smell, investigate, find_out, find out, smoke_out, detect, track_down, smoke out, examine
查看	查看	chákàn	to look over, to examine, to check up, to ferret out
拆遷	拆迁	chāiqiān	to demolish a building and relocate the inhabitants
產量	产量	chǎnliàng	turnout, turnoff, outturn, capacity, output, produce, product, fruitage, throughput, fruit, production, yield, crop
昌盛	昌盛	chāngshèng	prosperous
長假	长假	chángjià	long vacation, refers to one week national holiday in PRC starting 1st May and 1st Oct
長短	长短	chángduǎn	length, duration, accident, right and wrong, good and bad, long and short
長跑	长跑	chángpǎo	long-distance running
長遠	长远	chángyuǎn	long-range, long, long-term, far-reaching
常規	常规	chángguī	code of conduct, conventions, common practice, routine (medical procedure etc)
長久	长久	chángjiǔ	permanently, long, for a long time
常年	常年	chángnián	all year round, for years on end, average year
場地	场地	chǎngdì	grounds, site, ground, yard, precinct, space, course, place, park, property
廠商	厂商	chǎngshāng	factory owner, factories and stores, firm, maker, business organization, business concern, manufacturing business, concern, manufacturer, business
場館	场馆	chǎngguǎn	sporting venue, arena
場景	场景	chǎngjǐng	stage set, set, scenery, spectacle, scene, setting, set decoration
暢通	畅通	chàngtōng	unimpeded, free-flowing, straight path, unclogged, move without obstruction
超出	超出	chāo chū	to exceed, to overstep, to go too far, to encroach
炒	炒	chǎo	saute, stir-fry, roast, speculate, parch, fry, saut#2e, fire, saut#2 e, sack, scramble
超	超	chāo	to exceed, to overtake, to surpass, to transcend, to pass, to cross, ultra-, super-
炒股	炒股	chǎo gǔ	(coll.) to speculate in stocks
車號	车号	chēhào	Car number
炒作	炒作	chǎozuò	stir
車展	车展	chēzhǎn	motor show
車牌	车牌	chēpái	license plate
撤銷	撤销	chèxiāo	cancel, rescind, revoke
撤離	撤离	chèlí	to withdraw from, to evacuate
撐	撑	chēng	prop up, brace, push/move with a pole, maintain, keep up
成分	成分	chéngfen	constitution, class/economic status, composition, economic status, component_part, ingredient, one's profession or economic status, profession, component part, grammatical constituent, class, constituent, one's class status, class status, element, component, metal
成品	成品	chéngpǐn	end, end product, turnoff, end/finished product, finished product, facture
承諾	承诺	chéngnuò	promise
城區	城区	chéngqū	city district, urban area
城鄉	城乡	chéngxiāng	urban and rural, town and country
城鎮	城镇	chéngzhèn	cities and towns
成	成	chéng	become, turn into
衝擊	冲击	chōngjī	lash, pound, charge, assault
持有	持有	chíyǒu	boast, take, possess, hold, carry
重建	重建	chóngjiàn	to rebuild, to reestablish, reconstruction, rebuilding
寵物	宠物	chǒngwù	pet
崇拜	崇拜	chóngbài	worship, adore
重組	重组	chóngzǔ	to reorganize, to recombine, recombination
沖	冲	chōng	charge, rush, dash
出場	出场	chū chǎng	to appear (on stage, in a show, in a photo etc), to play (for a team), to enter (arena or stage), to send sb out (e.g. off the field for a foul)
出動	出动	chūdòng	to start out on a trip, to dispatch troops
出訪	出访	chūfǎng	to travel on business, to visit (a foreign country), same as 外出訪問|外出访问[wai4 chu1 fang3 wen4]
出路	出路	chūlù	way out, outlet, employment opportunities
出面	出面	chū miàn	act in one's own capacity or on behalf o, act in one's own capacity or on behalf of an organization, act in one's own capacity or on behalf of an organ, appear personally
出入	出入	chūrù	come in and go out
出事	出事	chū shì	to have an accident, to meet with a mishap
出名	出名	chū míng	lend one's name, out, fame, become well-known, become famous, famous, use the name of, be famous, well-known
出臺	出台	chū tái	to officially launch (a policy, program etc), to appear on stage, to appear publicly, (of a bar girl) to leave with a client
初等	初等	chūděng	elementary (i.e. easy)
除	除	chú	except
出行	出行	chūxíng	to set out on a long journey, to travel afar
廚師	厨师	chúshī	cook, chef
儲存	储存	chǔcún	lay in/up, store, stockpile
處處	处处	chùchù	everywhere, in all respects
處長	处长	chùzhǎng	department, section chief, commissioner, department/office head, department head, head of a department, office head
傳輸	传输	chuánshū	transmission, transmit
傳媒	传媒	chuánméi	media
傳言	传言	chuányán	rumor, hearsay
傳出	传出	chuánchū	to transmit outwards, to disseminate, efferent (nerve)
船員	船员	chuányuán	crew, sailorman, sailor, shipmate, crewman, tarpaulin, old salt, seaman, bargeman, tar, boatman, Jack-tar, mariner, sea dog, gob, waister, seafarer
船隻	船只	chuánzhī	boat, watercraft, marine, ship, vessel
船長	船长	chuánzhǎng	captain (of a boat), skipper
串	串	chuàn	to string together, to skewer, to connect wrongly, to gang up, to rove, string, bunch, skewer, classifier for things that are strung together, or in a bunch, or in a row: string of, bunch of, series of, to make a swift or abrupt linear movement (like a bead on an abacus), to move across
窗口	窗口	chuāngkǒu	window, wicket, ticket window
創建	创建	chuàngjiàn	to found, to establish
創意	创意	chuàngyì	create new meanings, get-up-and-go, unique idea, new idea
創辦	创办	chuàngbàn	found, launch, establishment, set up, establish
此處	此处	cǐchù	this place, here (literary)
此前	此前	cǐqián	before this, before then, previously
此次	此次	cǐcì	this time
此事	此事	cǐshì	This matter
次數	次数	cìshù	number of times, frequancy, frequency, absolute frequency, legal case, oftenness, lawsuit, time, frequence
此致	此致	cǐzhì	(used at the end of a letter to introduce a polite salutation)
從不	从不	cóngbù	ne'er, never
從沒	从没	cóngméi	never (in the past), never did
醋	醋	cù	vinegar, jealousy (in love rivalry)
村莊	村庄	cūnzhuāng	village, hamlet, CL:座[zuo4]
搭	搭	dā	put up, construct, join together, add (money/etc.)
錯過	错过	cuòguò	pass up, muff, throw_away, lose, let slip, miss, overslip, balk, overlook, cross, pass_up, slip
搭配	搭配	dāpèi	group, pair
搭檔	搭档	dādàng	to cooperate, partner
打動	打动	dǎdòng	to move (to pity), arousing (sympathy), touching
打斷	打断	dǎ duàn	to interrupt, to break off, to break (a bone)
打牌	打牌	dǎ pái	to play mahjong or cards
打發	打发	dǎfa	to dispatch sb to do sth, to make sb leave, to pass (the time), (old) to make arrangements, (old) to bestow (alms etc)
打官司	打官司	dǎ guānsi	to file a lawsuit, to sue, to dispute
打印機	打印机	dǎyìnjī	printer
大道	大道	dàdào	wide road, the way of virtue and justice
打造	打造	dǎzào	to create, to build, to develop, to forge (of metal)
大街	大街	dàjiē	street, main street, CL:條|条[tiao2]
大米	大米	dàmǐ	(husked) rice
大批	大批	dàpī	large quantities of
大賽	大赛	dàsài	race, game, tournament, contest
大師	大师	dàshī	great master, lord, workmaster, artiste, Very Reverend, overlord, master, priest, maestro, non-Christian priest, Great Master
大力	大力	dàlì	vigorously, energetically
大使	大使	dàshǐ	elchee, embassador, ambassadorial, nuncio, ambassadorship, ambassador
待會兒	待会儿	dāihuir5	in a moment, later, Taiwan pr. [dai1 hui3 r5]
擔憂	担忧	dānyōu	be apprehensive
誕生	诞生	dànshēng	be born, come into being, emerge
單打	单打	dāndǎ	play by oneself
黨	党	dǎng	section, Dang, political party, CCP, KMT, Ku_Klux_Klan, clique, The Party, party, tong, kinsfolk, the Party, faction, gang
當	当	dāng	when, while
當天	当天	dāngtiān	on that day, the same day
當成	当成	dàngchéng	regard as, take for, consider as, regard/consider as, treat as, regard
檔	档	dàng	(Tw) variant of 擋|挡[dang3], gear, official records, grade (of goods), file, records, shelves, slot, gap, crosspiece, classifier for crosspieces, classifier for events, affairs etc, Taiwan pr. [dang3]
當作	当作	dàngzuò	regard_as, regard as, look upon as, treat as, presume
檔案	档案	dàngàn	data file, documentation, record, archive, archives, file, dossier
到期	到期	dào qī	to fall due (loan etc), to expire (visa etc), to mature (investment bond etc)
盜版	盗版	dào bǎn	pirated, illegal, see also 正版[zheng4 ban3]
島	岛	dǎo	island, isle
道教	道教	Dàojiào	Taoism, Daoism (Chinese system of beliefs)
道歉	道歉	dào qiàn	apologize
低溫	低温	dīwēn	low temperature
低頭	低头	dī tóu	submission, surrender, submit, bow/hang one's head, bow, crouch, lower, yield, hang one's head, bow one's head, lower one's head
抵達	抵达	dǐdá	reach, arrive at
抵抗	抵抗	dǐkàng	resist, stand up to
地名	地名	dìmíng	place name, toponym
地板	地板	dìbǎn	boarding, planking, hatch, plat, floorboard, hatchway, floor board, flooring, planch, floor, footplate
地下室	地下室	dìxiàshì	rumpus_room, soutane, undercroft, rooms built below ground, ground_floor, serdab, cellar, hypogeum, crypt, subterranean, silo, subterrane, souterrain, vault, cellarage, basement
電動	电动	diàndòng	electric
滴	滴	dī	a drop, to drip
電車	电车	diànchē	trolleybus, CL:輛|辆[liang4]
電器	电器	diànqì	electrical equipment/appliance
電力	电力	diànlì	electrical line of force, electrical energy, power, electricity, potential, electric power
吊	吊	diào	a string of 100 cash (arch.), to lament, to condole with, variant of 吊[diao4]
調研	调研	diàoyán	to investigate and research, research, investigation
定價	定价	dìngjià	to set a price, to fix a price
定時	定时	dìngshí	to fix a time, fixed time, timed (of explosive etc)
跌	跌	diē	fall, tumble
定位	定位	dìngwèi	fixed position
鬥爭	斗争	dòuzhēng	battle, fight
動畫	动画	dònghuà	(animated) cartoon
毒品	毒品	dúpǐn	kif, kaif, narcotics, drug, weed, grass, narcotic drugs, drugs
賭	赌	dǔ	gamble, bet
賭博	赌博	dǔbó	gamble
端	端	duān	old variant of 端[duan1], start, origin
都市	都市	dūshì	city, metropolis
端午節	端午节	Duānwǔjié	Dragon Boat Festival (5th day of the 5th lunar month)
短片	短片	duǎnpiàn	short film, video clip
渡	渡	dù	cross (river/sea/etc.), tide over, ferry across
隊伍	队伍	duìwu	cue, procession, contingent, ranks, troops, gang
對外	对外	duìwài	external, foreign, pertaining to external or foreign (affairs)
對抗	对抗	duìkàng	baulk, pit, combat, antagonise, encounter, counterwork, countervail, counteract, opposition, resistance, cope, breast, defend, fight, stem, play, battle, fight down, meet, fight back, antagonize, face, confront, front, oppose, contradict, controvert, balk, resist, jib, countercheck, take on, counterbalance, match
多半	多半	duōbàn	det : the greater part
多方面	多方面	duōfāngmiàn	many-sided, in many aspects
多媒體	多媒体	duōméitǐ	multi-media
奪	夺	duó	to seize, to take away forcibly, to wrest control of, to compete or strive for, to force one's way through, to leave out, to lose
蹲	蹲	dūn	squat on heels, stay
奪取	夺取	duóqǔ	to seize, to capture, to wrest control of
恩人	恩人	ēnrén	a benefactor, a person who has significantly helped sb else
兒科	儿科	érkē	pediatrics
發病	发病	fā bìng	onset, outbreak (of a disease)
發電	发电	fā diàn	electricity generation, generate electricity
發放	发放	fāfàng	provide, grant, extend
發起	发起	fāqǐ	initiate, commence, stage, instigate, sparkplug, sponsor, inauguraion, start, launch, promote, inaugurate, initiation
發怒	发怒	fā nù	to get angry
發言人	发言人	fāyánrén	voice, spokesman, representative, interpreter, prophet, addresser, spokesperson, prolocutor, addressor, fugleman, coryphaeus
法庭	法庭	fǎtíng	judicature, areopagy, court, courtroom, tribunal, banc, forum, gate, banco, lockup, lawcourt, bailey
發炎	发炎	fā yán	inflame, inflammation, inflamed
番	番	fān	m.[event]
番茄	番茄	fānqié	tomato
凡是	凡是	fánshì	conj.: whatever
法語	法语	Fǎyǔ	French (language)
繁殖	繁殖	fánzhí	breed, reproduce, propagate
反問	反问	fǎnwèn	to ask (a question) in reply, to answer a question with a question, rhetorical question
反響	反响	fǎnxiǎng	repercussions, reaction, echo
犯規	犯规	fàn guī	to break the rules, an illegality, a foul
犯	犯	fàn	violate, offend, attack, assail, work against, commit, have recurrence (of old illness), revert (to bad habit)
反抗	反抗	fǎnkàng	revolt, resist
犯罪	犯罪	fàn zuì	commit crime/offense
防守	防守	fángshǒu	to defend, to protect (against)
房價	房价	fángjià	house/apartment purchase price, house purchase price, apartment purchase price, house
防範	防范	fángfàn	be on guard, keep lookout
仿佛	仿佛	fǎngfú	to seem, as if, alike, similar
飛船	飞船	fēichuán	airship, spaceship
飛行員	飞行员	fēixíngyuán	pilot, aviator
肺	肺	fèi	lung, CL:個|个[ge4]
分工	分工	fēn gōng	division of labour, divide the work
憤怒	愤怒	fènnù	indignant, angry
分裂	分裂	fēnliè	split, divide, break up
峰會	峰会	fēnghuì	summit meeting
奉獻	奉献	fèngxiàn	offer as tribute, present with all respect
風暴	风暴	fēngbào	tempest, roughness, firestorm, windstorm, squall, blow, tempestuousness, storm
佛教	佛教	Fójiào	Bodhisattva, Buddhist religion, Buddhism
佛	佛	fú	Buddha, Buddhism, image of Buddha
服	服	fú	clothes, dress, garment, to serve (in the military, a prison sentence etc), to obey, to convince, to admire, to acclimatize, to take (medicine), mourning clothes, to wear mourning clothes, dose (measure word for medicine), Taiwan pr. [fu2]
父女	父女	fùnǚ	father and daughter
父子	父子	fùzǐ	father and son
負	负	fù	betray, abandon, go against
浮	浮	fú	to float, superficial, floating, unstable, movable, provisional, temporary, transient, impetuous, hollow, inflated, to exceed, superfluous, excessive, surplus
婦女	妇女	fùnǚ	feme, womankind, female, femininity, cummer, woman, femme, quean, bevy, matron, toots, womanhood, feminine, womenfolk, women
副	副	fù	m.[general]
復蘇	复苏	fùsū	variant of 復甦|复苏[fu4 su1], to recover (health, economic), to resuscitate, anabiosis
富人	富人	fùrén	rich man
改裝	改装	gǎizhuāng	to change one's costume, to repackage, to remodel, to refit, to modify, to convert
干涉	干涉	gānshè	interfere, intervene, meddle
肝	肝	gān	hepatic, liver
富有	富有	fùyǒu	be rich/wealthy
杆	杆	gān	pole, CL:條|条[tiao2],根[gen1], stick, pole, lever, classifier for long objects such as guns
趕不上	赶不上	gǎnbushàng	can't keep up with, can't catch up with, cannot overtake
趕上	赶上	gǎn shàng	to keep up with, to catch up with, to overtake, to chance upon, in time for
趕忙	赶忙	gǎnmáng	to hurry, to hasten, to make haste
剛好	刚好	gānghǎo	exact, just right
感人	感人	gǎnrén	touching, moving
崗位	岗位	gǎngwèi	post, station
港口	港口	gǎngkǒu	harbour, port, seaport, haven, harbor
高層	高层	gāocéng	high-level
敢於	敢于	gǎnyú	to have the courage to do sth, to dare to, bold in
高檔	高档	gāodàng	superior quality, high grade, top grade
高峰	高峰	gāofēng	summit, apex, alp, vertex, acme, peak, height, pinnacle, high, all-time high
高等	高等	gāoděng	higher, advanced
高考	高考	gāokǎo	college entrance exam (especially as abbr. for 普通高等學校招生全國統一考試|普通高等学校招生全国统一考试[Pu3 tong1 Gao1 deng3 Xue2 xiao4 Zhao1 sheng1 Quan2 guo2 Tong3 yi1 Kao3 shi4]), entrance exam for senior government service posts (Taiwan)
高科技	高科技	gāokējì	high technology, high tech
稿子	稿子	gǎozi	draft of a document, script, manuscript, mental plan, precedent
高手	高手	gāoshǒu	dab, master-hand, expert, master, facility, proficient, ace
歌詞	歌词	gēcí	words of song, lyrics
歌星	歌星	gēxīng	singing star
革新	革新	géxīn	innovate
工商	工商	gōngshāng	industrial and commercial circles, business circles, industry and commerce
公	公	gōng	public, collectively owned, common, international (e.g. high seas, metric system, calendar), make public, fair, just, Duke, highest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4], honorable (gentlemen), father-in-law, male (animal)
更是	更是	gèngshì	even more
公雞	公鸡	gōngjī	cock, rooster
公眾	公众	gōngzhòng	community, the public, masses, the people, public
公安	公安	gōngān	(Ministry of) Public Security, public safety, public security
歌唱	歌唱	gēchàng	sing
攻擊	攻击	gōngjī	attack, assault, accuse, vilify
供給	供给	gōngjǐ	supply, provide, furnish
宮	宫	gōng	surname Gong, palace, temple, castration (as corporal punishment), first note in pentatonic scale
公主	公主	gōngzhǔ	princess
鞏固	巩固	gǒnggù	to consolidate, consolidation, to strengthen
貢獻	贡献	gòngxiàn	contribution
孤獨	孤独	gūdú	lonely, solitary
孤兒	孤儿	gūér	orphan
古典	古典	gǔdiǎn	classical
構建	构建	gòujiàn	to construct (sth abstract)
股	股	gǔ	m.[general]
姑姑	姑姑	gūgu	paternal aunt, CL:個|个[ge4]
股票	股票	gǔpiào	capital stock, share, stock certificate, security, share certificate, stock
故障	故障	gùzhàng	malfunction, break
顧	顾	gù	turn round and look at, attend to, look after, take into consideration, visit, call on
刮	刮	guā	to blow (of the wind)
拐	拐	guǎi	to turn (a corner etc), to kidnap, to swindle, to misappropriate, walking stick, crutch, seven (used as a substitute for 七[qi1])
關愛	关爱	guānài	care for
關聯	关联	guānlián	related, linked, affiliated
觀光	观光	guānguāng	rubberneck, take in, visit, sightsee, travel to, go sightseeing, tour
官司	官司	guānsi	lawsuit, CL:場|场[chang2]
管道	管道	guǎndào	pipeline, conduit, piping, channel (for communication/etc.)
廣闊	广阔	guǎngkuò	wide, vast
股東	股东	gǔdōng	raider, shareholder, interest, old fogy, shareowner, curio, antique, partner, stockholder, interest group
光輝	光辉	guānghuī	radiancy, irradiancy, blaze, sparkle, fire, shininess, shine, resplendency, glory, glare, magnificence, sheen, lustre, grandeur, splendor, lucidity, coruscation, refulgence, grandness, burnish, brilliance, flame, glow, luminosity, glitter, luster, refulgency, radiance, irradiance, glowing, halo, resplendence, splendour, effulgence
軌道	轨道	guǐdào	circle, path, trajectory, railroad track, orbital, course, proper way of doing things, trackage, track, orbit, flight, rail, railway, trackway, tramroad, career, orb
跪	跪	guì	to kneel
國產	国产	guóchǎn	made in China, made in our country, make domestically
國會	国会	guóhuì	Storthing, Oireachtas, Cortes, Congress, congress, diet, the Diet, duma, congressional, Capitol, parliament, house
國旗	国旗	guóqí	flag, ensign, national flag
國王	国王	guówáng	regal, crowned_head, Rex, crown, kingdom, Pharaoh, male monarch, roi, king
果醬	果酱	guǒjiàng	jam
果樹	果树	guǒshù	fruit tree, CL:棵[ke1]
國歌	国歌	guógē	national anthem
過後	过后	guòhòu	after the event
過渡	过渡	guòdù	to cross over (by ferry), transition, interim, caretaker (administration)
海報	海报	hǎibào	throwaway, poster, bill, flier, flyer, broadside, a playbill, a placard, circular, playbill, placard, broadsheet, handbill, a poster
過時	过时	guò shí	old-fashioned, out of date, to be later than the time stipulated or agreed upon
海浪	海浪	hǎilàng	sea wave
海外	海外	hǎiwài	oversea, overseas, abroad
海底	海底	hǎidǐ	seabed, seafloor, bottom of the ocean
海軍	海军	hǎijūn	marine, naval, admiralty, jolly, navy
海洋	海洋	hǎiyáng	briny, profound, main, deep, sea, oceanic, Neptune, brine, nautical, ocean, seas and oceans
海灣	海湾	hǎiwān	(Persian) Gulf, bay, gulf (body of water)
好轉	好转	hǎozhuǎn	to improve, to take a turn for the better, improvement
