挨著	挨着	āizhe	near
好容易	好容易	hǎoróngyi	with great difficulty, to have a hard time (convincing sb, relinquishing sth etc)
好學	好学	hàoxué	eager to study, studious, erudite
好似	好似	hǎosì	to seem, to be like
合約	合约	héyuē	contract, booking, obligation, treaty
核心	核心	héxīn	nub, nucleus, meat, heart, core group, substance, center, core, the center, crux, essence, root, kernel, nitty-gritty, inwardness, pith, sum, marrow, bosom, gist
黑夜	黑夜	hēiyè	night
和諧	和谐	héxié	harmonious, concordant
很難說	很难说	hěn nánshuō	Hard to say
橫	横	héng	horizontal, across, (horizontal character stroke), harsh and unreasonable, unexpected
衡量	衡量	héngliang	weigh, measure, judge
狠	狠	hěn	fierce, very
宏大	宏大	hóngdà	great, grand
洪水	洪水	hóngshuǐ	deluge, flood
互動	互动	hùdòng	relate
忽略	忽略	hūlüè	overpass, fail, pretermit, outlook, pass, overlook, neglectful, snub, cut, neglect, marginalize, miss, lose sight of, disregard, slur, ignore, forget
戶外	户外	hùwài	air, outdoor, open_air, out-of-doors, open, outdoors, open air, open-air
護	护	hù	to protect
花瓶	花瓶	huāpíng	flower vase, fig. just a pretty face, CL:對|对[dui4]
花費	花费	huāfei	spend, expend
花生	花生	huāshēng	peanut, groundnut, CL:粒[li4]
化解	化解	huàjiě	remove
幻想	幻想	huànxiǎng	imagine, daydream, reverie, stargaze, fantasticate, fancify, dream, visionary, fancy, illusion, fantasize, chimerical, woolgather, illusory, fantasy
壺	壶	hú	pot, classifier for bottled liquid
患者	患者	huànzhě	patient, subject, sufferer
回應	回应	huíyìng	echo, react, answer, respond
皇帝	皇帝	huángdì	emperor
會見	会见	huìjiàn	to meet with (sb who is paying a visit), CL:次[ci4]
會長	会长	huìzhǎng	president (of club/society/etc.)
毀	毁	huǐ	destruction, ruin, slay, damage, slander, spoil, bugger up, burn up, refashion, make over, destroy, defame, demolish
混	混	hùn	fool/play around together
繪畫	绘画	huìhuà	painting
混亂	混乱	hùnluàn	confused, chaotic
混合	混合	hùnhé	associate, immingle, muddle, incorporate, mixed, meld, confect, amalgamate, blend in, fuse, interblend, hybrid, admix, mingle, wuzzle, mix, shuffle, mercurify, engraft, concoct, interlace, interweave, immix, go, interfuse, mix_up, sophisticate, marry, combine, mix in, conflate, merge, intermix, jumble, commingle, decompound, intermingle, knead, coalesce, interflow, compound, commix, blend,
活躍	活跃	huóyuè	animate, kick around, active, invigoration, knock_about, cavort, enliven, vitalize, knock about, energize, flourish, invigorate, brighten, kick about, vitalization, vivify, move
火箭	火箭	huǒjiàn	rocket, CL:枚[mei2]
機動車	机动车	jīdòngchē	motor vehicle
昏	昏	hūn	muddle-headed, twilight, to faint, to lose consciousness, old variant of 昏[hun1]
機關	机关	jīguān	mechanism, stratagem, scheme, intrigue
基督教	基督教	Jīdūjiào	Christian religion, Christianity, Christendom, Christianism, Christian
機械	机械	jīxiè	mechanics, enginery, rig, machinery, mechanism, machine, appliance, mechanical
激情	激情	jīqíng	passion, fervor, enthusiasm, strong emotion
吉祥	吉祥	jíxiáng	lucky, auspicious, propitious
極端	极端	jíduān	extreme, exceeding
急救	急救	jíjiù	first aid, emergency treatment
集	集	jí	gather, collect
疾病	疾病	jíbìng	trouble, attack, evil, ailment, affection, misery, malfunction, complaint, infirmity, disease, ill, illness, malady, decline, sickness, condition
加盟	加盟	jiāméng	align
吉利	吉利	jílì	Geely, Chinese car make, auspicious, lucky, propitious
家電	家电	jiādiàn	electrical household appliance, electrical home appliance, household electrical appliances
家園	家园	jiāyuán	home, homestead, native heath, homestall, homeland
嘉賓	嘉宾	jiābīn	esteemed guest, honored guest, guest (on a show)
給予	给予	jǐyǔ	bring, feed, offer, afford, hold_out, impart, adduce, lend, grant, contribute, given, concede, give to, give, bestow, add, put, render, deal, ladle, administer, assign, give_in, allow
假日	假日	jiàrì	holiday, non-working day
監督	监督	jiāndū	supervise, superintend, control
監測	监测	jiāncè	monitor, supervise
撿	捡	jiǎn	to pick up, to collect, to gather
簡介	简介	jiǎnjiè	brief introduction, synopsis
劍	剑	jiàn	sword, skewer, fox, sabre, steel, snickersnee, brand, bilbo, saber, blade, glaive, falchion
鑒定	鉴定	jiàndìng	to appraise, to identify, to evaluate
箭	箭	jiàn	arrow, CL:支[zhi1]
將軍	将军	jiāngjūn	problem, mate, general, high-rank officer, marshal, full general, shogun, aga, warlord, tycoon, check
講課	讲课	jiǎng kè	teach, lecture
醬	酱	jiàng	thick paste of fermented soybean, marinated in soy paste, paste, jam
驕傲	骄傲	jiāoào	be proud, take pride in
醬油	酱油	jiàngyóu	soy sauce
焦點	焦点	jiāodiǎn	focal point, point at issue, focal, focus, focal_point, central issue
尖	尖	jiān	sharp-pointed, piercing, cuspidal, shrill, sharp
腳印	脚印	jiǎoyìn	footprint
教堂	教堂	jiàotáng	tabernacle, kirk, house_of_God, church, temple, fane, cathedral, church building, bema
教育部	教育部	Jiàoyùbù	Education, Ministry of Education, Department of Education, Education Department
接收	接收	jiēshōu	receive, take over (property/etc.)
街頭	街头	jiētóu	street corner, street_corner, street (corner), street
覺	觉	jué	sense, feel, wake (up), become aware/awakened, discover
節	节	jié	m.[event]
節假日	节假日	jiéjiàrì	public holiday
節能	节能	jié néng	to save energy, energy-saving
傑出	杰出	jiéchū	excel at, exceed, shine at, outstanding, stand_out
揭	揭	jiē	to take the lid off, to expose, to unmask
截止	截止	jiézhǐ	end, cut off, expire, close
解	解	jiě	separate, divide, cut apart, untie, undo, explain, interpret, dissolve
解說	解说	jiěshuō	explain orally, appease
截至	截至	jiézhì	by (specified time), up to
界	界	jiè	boundary, scope, extent, circles, group, kingdom (taxonomy)
金額	金额	jīné	amount of money, sum_of_money, sum, money, penny, amount/sum of money, sum of money, amount
節奏	节奏	jiézòu	pacing, cadency, musical rhythm, pulse, speech rhythm, rhythm, regular recurrence, pulsation, beat, pace, movement, tune, cadence, clip, tempo
借鑒	借鉴	jièjiàn	to use other people's experience, to borrow from a source, to use as reference
金錢	金钱	jīnqián	pewter, splosh, green, Oscar, siller, gelt, tin, coin, roll, dollar sign, funds, dollar mark, shekels, wealth, lucre, pecuniary, dinero, bankroll, dough, scratch, bread, means, moolah, shekel, shiner, cabbage, kale, spondulicks, pelf, oof, money, loot, wampum, brass, dollar
儘	尽	jǐn	use up, exhaust, try one's best, put to best use, end
進攻	进攻	jìngōng	attack, assault
近日	近日	jìnrì	in the past few days, recently, in the last few days
近視	近视	jìnshì	shortsighted, nearsighted, myopia
驚人	惊人	jīngrén	alarming, whacking, astounding, spectacular, amazing, astonishing
精	精	jīng	essence, extract, vitality, energy, semen, sperm, mythical goblin spirit, highly perfected, elite, the pick of sth, proficient (refined ability), extremely (fine), selected rice (archaic)
精美	精美	jīngměi	exquisite, elegant
精品	精品	jīngpǐn	plum, showpiece, fine work, quality goods, top quality article, article of fine quality
井	井	jǐng	Jing, well, Surname, something in the shape of a well
驚喜	惊喜	jīngxǐ	nice surprise, to be pleasantly surprised
金融	金融	jīnróng	finance, banking
景點	景点	jǐngdiǎn	scenic spot, place of interest (tourism)
糾紛	纠纷	jiūfēn	entanglement, embarrassment, cobweb, skein, embroilment, dissension, complication, issue, conflict, confusion, dispute, shindig, knottiness, dustup, aggro, tangle, betanglement, maze, imbroglio, strife
糾正	纠正	jiūzhèng	correct, redress
淨	净	jìng	clean, completely, only, net (income, exports etc), (Chinese opera) painted face male role
酒水	酒水	jiǔshuǐ	beverage, a drink
救命	救命	jiù mìng	to save sb's life, (interj.) Help!, Save me!
救援	救援	jiùyuán	to save, to support, to help, to assist
救助	救助	jiùzhù	to help sb in trouble, aid, assistance
景	景	jǐng	view, Jing, shot, routine, bit, act, number, situation, scene, scenery, Surname, turn, condition
就算	就算	jiùsuàn	conj.: even if, granted that
就是說	就是说	jiùshìshuō	that is to say, in other words, namely
據	据	jù	according to, on the grounds of
捐	捐	juān	donation, subscription, relinquish, abandonment, subscribe, contribution, donate, abandon, contribute
局	局	jú	m.[event]
捐款	捐款	juānkuǎn	to donate money, to contribute funds, donation, contribution (of money)
捐贈	捐赠	juānzèng	contribute (as gift), donate, present
捐助	捐助	juānzhù	to donate, to offer (aid), contribution, donation
劇	剧	jù	theatrical work (play, opera, TV series etc), dramatic (change, increase etc), acute, severe
決策	决策	juécè	policy decision
覺悟	觉悟	juéwù	to come to understand, to realize, consciousness, awareness, Buddhist enlightenment (Sanskrit: cittotpāda)
絕	绝	jué	extremely, most, absolutely, in the least, by any means, on any account
絕大多數	绝大多数	juédàduōshù	det.: most of, majority
軍艦	军舰	jūnjiàn	warship, military naval vessel, CL:艘[sou1]
軍事	军事	jūnshì	war, martial, military affairs, legion, military
軍隊	军队	jūnduì	military personnel, troops, armed forces, armament, military, soldiery, force, Sabaoth, array, army troops, military unit, host, military force, cohort, battalion, legion, troop, regular army, army, armed_forces, rank
開關	开关	kāiguān	power switch, to open a gate
開創	开创	kāichuàng	start, initiate
開通	开通	kāitong	to open up (windows for air, ideas for discussion, transport routes etc), open-minded
開設	开设	kāishè	open (shop/etc.), offer (course/etc.)
開夜車	开夜车	kāi yèchē	to burn the midnight oil, to work late into the night
看得見	看得见	kàndéjiàn	can see, visible
開頭	开头	kāitóu	beginning, to start
看	看	kàn	see, look at, watch, read, look upon, regard, look after, call on, visit
看管	看管	kānguǎn	to look after
看得起	看得起	kàndeqǐ	to show respect for, to think highly of
看作	看作	kànzuò	to look upon as, to regard as
康復	康复	kāngfù	to recuperate, to recover (health), to convalesce
看好	看好	kànhǎo	believe something/someone will be worthy in the future
考場	考场	kǎochǎng	exam room
抗議	抗议	kàngyì	protest
科研	科研	kēyán	(scientific) research
客車	客车	kèchē	coach, bus, passenger train
考題	考题	kǎotí	exam question
空軍	空军	kōngjūn	airforce, air_force, Luftwaffe, air force, squadron
肯	肯	kěn	be willing/ready to
口試	口试	kǒushì	oral examination, oral test
扣	扣	kòu	button
跨	跨	kuà	lead, go, bestride, straddle, go beyond, run, pass, extend, stride, ride, cut across, step
快車	快车	kuàichē	express (train, bus etc)
酷	酷	kù	ruthless, strong (e.g. of wine), (loanword) cool, hip
礦	矿	kuàng	ore, minevariant of 礦|矿[kuang4]
寬闊	宽阔	kuānkuò	expansive, wide, width, thickness
闊	阔	kuò	rich, wide, broad
來往	来往	láiwang	associate, contact
賴	赖	lài	to depend on, to hang on in a place, bad, to renege (on promise), to disclaim, to rat (on debts), rascally, to blame, to put the blame on, surname Lai, variant of 賴|赖[lai4]
啦	啦	la	particle: used when informing sb. of st.; indicating excitement/doubt/comfort/etc.
藍天	蓝天	lántiān	blue sky
欄目	栏目	lánmù	regular column or segment (in a publication or broadcast program), program (TV or radio)
藍領	蓝领	lánlǐng	blue collar, common laborer
牢	牢	láo	firm, sturdy, fold (for animals), sacrifice, prison
老鄉	老乡	lǎoxiāng	fellow townsman, fellow villager, sb from the same hometown
冷氣	冷气	lěngqì	air conditioning
冷水	冷水	lěngshuǐ	cold water, unboiled water, fig. not yet ready (of plans)
理財	理财	lǐ cái	financial management, finance
禮堂	礼堂	lǐtáng	assembly hall, auditorium, CL:座[zuo4],處|处[chu4]
理	理	lǐ	texture, grain (in wood/etc.), reason, logic, truth, natural science (esp. physics), law, principle, doctrine, theory
力	力	lì	power, strength, ability, force, physical strength
理智	理智	lǐzhì	reason, intellect, rationality, rational
聯盟	联盟	liánméng	conference, alliance, coalition, hookup, ally, Verein, confederacy, federacy, circuit, combination, Bund, confederation, federation, union, bloc, league, axis
利	利	lì	profit, interest, advantage, benefit
懶	懒	lǎn	lazy
聯賽	联赛	liánsài	loop, league matches, league match
涼鞋	凉鞋	liángxié	sandal
兩側	两侧	liǎngcè	two sides, both sides
兩手	两手	liǎngshǒu	Two hands
聊天兒	聊天儿	liáo tiānr5	to chat, to gossip, erhua variant of 聊天[liao2 tian1]
聊	聊	liáo	endure, rely/depend on, rely on, depend on, chat
聯手	联手	liánshǒu	lit. to join hands, to act together
靈活	灵活	línghuó	nimble, agile, flexible, elastic
裂	裂	liè	to split, to crack, to break open, to rend
料	料	liào	material, stuff, grain, feed, to expect, to anticipate, to guess
領袖	领袖	lǐngxiù	foreman, leader, head, guru, cob, doyen, cacique, Duce, duce, gaffer, chief, boss, soul, sovereign, honcho
留言	留言	liúyán	to leave a message, to leave one's comments, message
另	另	lìng	det.: another
流感	流感	liúgǎn	flu, influenza
樓道	楼道	lóudào	corridor, passageway (in storied building)
樓房	楼房	lóufáng	a building of two or more stories, CL:棟|栋[dong4],幢[zhuang4],座[zuo4]
領取	领取	lǐngqǔ	draw, receive
陸軍	陆军	lùjūn	army
錄像	录像	lùxiàng	to videotape, to videorecord, video recording, CL:盤|盘[pan2]
露	露	lù	betray, betrayal, appear, reveal, show
錄音機	录音机	lùyīnjī	(tape) recording machine, tape recorder, CL:臺|台[tai2]
旅店	旅店	lǚdiàn	inn, small hotel
馬車	马车	mǎchē	cart, chariot, carriage, buggy
路過	路过	lùguò	to pass by or through
埋	埋	mái	hide away, burial, bury, inter
綠化	绿化	lǜhuà	make (a place) green, afforest
慢車	慢车	mànchē	local bus or train, slow train with many stops
饅頭	馒头	mántou	steamed roll, steamed bun, steamed bread, CL:個|个[ge4]
盲人	盲人	mángrén	blind person
嘛	嘛	ma	particle: used to persuade someone to do something; used to emphasize the obvious
梅花	梅花	méihuā	plum blossom, clubs (on playing cards), wintersweet
美容	美容	měiróng	improve looks
猛	猛	měng	suddenly, abruptly
蒙	蒙	méng	to cover, ignorant, to suffer (misfortune), to receive (a favor), to cheat, (knocked) unconscious, dazed, stunned, surname Meng, Mongol ethnic group, abbr. for Mongolia 蒙古國|蒙古国[Meng3 gu3 guo2], Taiwan pr. [Meng2]
免得	免得	miǎnde	conj.: so as not to, so as to avoid
棉	棉	mián	generic term for cotton or kapok, cotton, padded or quilted with cotton
面對面	面对面	miànduìmiàn	face to face
面嚮	面向	miànxiàng	to face, to turn towards, to incline to, geared towards, catering for, -oriented, facial feature, appearance, aspect, facet
妙	妙	miào	wonderful, excellent, fine, ingenious, clever, subtle
滅	灭	miè	destruction, go out, put out, wipe out, extermination, put/go out, put, exterminate, turn off, destroy, extinguish
民歌	民歌	míngē	folk song, CL:支[zhi1],首[shou3]
民工	民工	míngōng	migrant worker, temporary worker enlisted on a public project
民警	民警	mínjǐng	civil police, PRC police, abbr. for 人民警察
民主	民主	mínzhǔ	democracy, democratic rights
名勝	名胜	míngshèng	a place famous for its scenery or historical relics, scenic spot, CL:處|处[chu4]
名額	名额	míngé	number of people allowed, quota of people
民意	民意	mínyì	public_opinion, popular will
名譽	名誉	míngyù	honour, laurel, celebrity, worship, character, odor, credit, repute, fame, name, rep, reputation, honorary, distinction, regard, honor
名義	名义	míngyì	title, name
命	命	mìng	life, lot, fate, destiny
明日	明日	míngrì	tomorrow
磨	磨	mó	grind, mill, turn round/about
沒收	没收	mòshōu	to confiscate, to seize
膜	膜	mó	membrane, film
墨水	墨水	mòshuǐ	ink, CL:瓶[ping2]
母	母	mǔ	mother, elderly female relative, origin, source, (of animals) female
母雞	母鸡	mǔjī	hen
母女	母女	mǔ-nǚ	mother-daughter
墓	墓	mù	grave, tomb, mausoleum
拿走	拿走	názǒu	to take away
母子	母子	mǔzǐ	mother and child, parent and subsidiary (companies), principal and interest
奶粉	奶粉	nǎifěn	powdered milk
難忘	难忘	nánwàng	unforgettable, memorable
奶牛	奶牛	nǎiniú	milk cow, dairy cow
內外	内外	nèiwài	inside and outside, domestic and foreign
內地	内地	nèidì	mainland China (PRC excluding Hong Kong and Macau, but including islands such as Hainan), Japan (used in Taiwan during Japanese colonization), inland, interior, hinterland
內衣	内衣	nèiyī	undergarment, underwear, CL:件[jian4]
能否	能否	néngfǒu	can or not
泥	泥	ní	mud, clay, paste, pulp, restrained
扭	扭	niǔ	to turn, to twist, to wring, to sprain, to swing one's hips
排行榜	排行榜	páihángbǎng	seniority among siblings
判	判	pàn	to judge, to sentence, to discriminate, to discern, obviously (different)
派出	派出	pàichū	send, dispatch
盼望	盼望	pànwàng	hope/long for, look forward to
泡	泡	pào	steep, soak, immerse
陪同	陪同	péitóng	accompany
皮球	皮球	píqiú	ball (made of rubber, leather etc)
配置	配置	pèizhì	dispose (troops/etc.), deploy
偏	偏	piān	stubbornly, on the contrary
貧困	贫困	pínkùn	impoverished, poverty
聘請	聘请	pìnqǐng	engage, invite
炮	炮	pào	to sauté, to fry, to dry by heating, to prepare herbal medicine by roasting or parching (in a pan), variant of 炮[pao4]
品牌	品牌	pǐnpái	brand, make, trademark
平凡	平凡	píngfán	ordinary, common
平衡	平衡	pínghéng	balance
評	评	píng	to discuss, to comment, to criticize, to judge, to choose (by public appraisal)
平臺	平台	píngtái	patio, terrace, hathpace, platform
屏幕	屏幕	píngmù	screen (TV, computer or movie)
評選	评选	píngxuǎn	to select on the basis of a vote or consensus
撲	扑	pū	pat, attack, throw oneself at, rush at, tap, beat, dab, bend over, pounce on, lie_down, throw oneself on, flap, flutter, fling self at
平方米	平方米	píngfāngmǐ	square meter
鋪	铺	pù	pave, spread, overlay, extend, unfold, lay, surface, set in order, bespread
奇妙	奇妙	qímiào	wonderful, marvelous
坡	坡	pō	slope, CL:個|个[ge4], sloping, slanted
欺負	欺负	qīfu	browbeat, take advantage of, pick on
企圖	企图	qǐtú	attempt, intend
氣氛	气氛	qìfēn	mood, air, look, feeling, aura, aurae, spirit, smell, genius loci, feel, flavor, atmosphere, tone, karma, ambiance, ambience
恰當	恰当	qiàdàng	appropriate, proper, suitable, fitting
恰好	恰好	qiàhǎo	as it turns out, by lucky coincidence, (of number, time, size etc) just right
起訴	起诉	qǐsù	to sue, to bring a lawsuit against, to prosecute
恰恰	恰恰	qiàqià	exactly, just, precisely
鉛筆	铅笔	qiānbǐ	(lead) pencil, CL:支[zhi1],枝[zhi1],桿|杆[gan3]
謙虛	谦虚	qiānxū	make modest remarks
牽	牵	qiān	lead along (by holding hand/halter/etc.), pull, involve, implicate
起點	起点	qǐdiǎn	starting point
前方	前方	qiánfāng	ahead, the front
強盜	强盗	qiángdào	hijacker, ravener, robber, rifler, freebooter, housebreaker, mugger, stickup, highwayman, brigand, ripoff, robbery, bandit, dacoit
潛力	潜力	qiánlì	bottom, possibility, ability, potency, capability, capableness, potentiality, potential, potential(ity), latent capacity
前來	前来	qiánlái	come
強勢	强势	qiángshì	powerful influence
強壯	强壮	qiángzhuàng	strong, sturdy, robust
巧妙	巧妙	qiǎomiào	felicitous, skillful, ingenious, clever, shrewd
橋梁	桥梁	qiáoliáng	bridge, fig. connection between two areas
強化	强化	qiánghuà	strengthen, intensify, consolidate
切實	切实	qièshí	feasible, realistic, practical, earnestly, conscientiously
侵犯	侵犯	qīnfàn	violate, infringe on (sb.'s rights)
茄子	茄子	qiézi	eggplant (Solanum melongena L.), aubergine, brinjal, Guinea squash, phonetic 'cheese' (when being photographed), equivalent of 'say cheese'
親屬	亲属	qīnshǔ	kin, kindred, relatives
傾向	倾向	qīngxiàng	tendency, trend, inclination
清	清	qīng	pure, clean, fresh, cool, lonely, poor
清潔	清洁	qīngjié	clean, sanitary
清潔工	清洁工	qīngjié gōng	cleaner, janitor, garbage collector
親眼	亲眼	qīnyǎn	with one's own eyes, personally
清明節	清明节	Qīngmíngjié	Qingming or Pure Brightness Festival or Tomb Sweeping Day, celebration for the dead (in early April)
情緒	情绪	qíngxù	form, pulse, humor, depression, temper, feeling, spirits, monkey, emotion, sentiment, humour, soulfulness, mood, heartbeat, heartstrings, sulks, chord, vein, feelings, emotional state, spirit, frame_of_mind, sentiments, moodiness, emotions, steam, tune, soul
球拍	球拍	qiúpāi	racket
清洗	清洗	qīngxǐ	to wash, to clean, to purge
球星	球星	qiúxīng	sports star (ball sport)
求職	求职	qiúzhí	seek for job
球員	球员	qiúyuán	ballplayer, player, ball team member
渠道	渠道	qúdào	irrigation ditch, (fig.) channel, means
取款	取款	qǔ kuǎn	to withdraw money from a bank
去掉	去掉	qùdiào	to get rid of, to exclude, to eliminate, to remove, to delete, to strip out, to extract
區分	区分	qūfēn	section, demarcate, compart, sectionalize, zone, screen, compartmentalize, individuate, differentiation, distinguish, mark off, secern, district, segment, separate, mark, sieve, differentiate, mark out, classify, divide, ramify, screen out, set apart, sort
取款機	取款机	qǔkuǎnjī	ATM
權	权	quán	surname Quan, authority, power, right, (literary) to weigh, expedient, temporary
全力	全力	quánlì	all one's strength, wholehearted dedication
權力	权力	quánlì	influence, rod, authoritativeness, clutches, whip_hand, dominance, say-so, reins, force, emirate, might, pretension, station, commission, grasp, leverage, danger, authority, place, power, arm, disposal, puissance
全新	全新	quánxīn	all new, completely new
券	券	quàn	bond (esp. document split in two, with each party holding one half), contract, deed (i.e. title deeds), ticket, voucher, certificate, variant of 券[quan4]
缺陷	缺陷	quēxiàn	gap, deficiency, trouble, flaw, blemishment, blemish, shortage, limitation, incapacity, defect, shortcoming, deformity, defacement, drawback, disfigurement, disadvantage
讓座	让座	ràng zuò	to give up one's seat for sb
熱點	热点	rèdiǎn	hot spot, point of special interest
熱水	热水	rèshuǐ	hot water
熱水器	热水器	rèshuǐqì	water heater
熱線	热线	rèxiàn	hotline (communications link)
人權	人权	rénquán	human rights
日夜	日夜	rìyè	day and night, around the clock
卻是	却是	quèshì	nevertheless, actually, the fact is ...
認同	认同	rèntóng	identify, have meeting of the minds
融合	融合	rónghé	mix together, fuse, stick together
融入	融入	róngrù	melt, thaw, blend, merge
日語	日语	Rìyǔ	Japanese language
如	如	rú	according to, in accordance with, such as, as if, like, for example
如一	如一	rúyī	As one
乳製品	乳制品	rǔzhìpǐn	dairy products
入	入	rù	agree with, set (of sun), set, take in, join, receive, be admitted into, become a member of, enter, descend, infiltrate, conform with, conform to, interlard
入學	入学	rù xué	enter a school, enrol, college, enter school, enter, start school, matriculate, enter college
若	若	ruò	conj.: if, as if
塞	塞	sāi	fill in, stuff in, stuff, fill, squeeze in, bung, spile, squeeze, line, stick, fill/stuff in
賽	赛	sài	to compete, competition, match, to surpass, better than, superior to, to excel
賽場	赛场	sàichǎng	racetrack, field (for athletics competition)
三明治	三明治	sānmíngzhì	sandwich (loanword), CL:個|个[ge4]
山峰	山峰	shānfēng	(mountain) peak
山谷	山谷	shāngǔ	mountain valley
喪失	丧失	sàngshī	cost, forfeiture, forfeit, give_away, lapse, loss, bereaved, lose, jump
傷口	伤口	shāngkǒu	wound, cut
傷亡	伤亡	shāngwáng	casualties, injuries and deaths
山坡	山坡	shānpō	hillside, mountain slope
傷員	伤员	shāngyuán	wounded person
商城	商城	shāngchéng	see 商城縣|商城县[Shang1 cheng2 xian4], shopping center, department store
上市	上市	shàng shì	go/appear on market
上當	上当	shàng dàng	be duped, be taken in, get_stuck, be fooled, be tricked
上演	上演	shàngyǎn	produce, bring on, put on stage, play, stage, mount, perform, bring out, performance
上帝	上帝	Shàngdì	Creator, god, Yahveh, Almighty, almighty, Godhead, Jehovah, Being, Supreme_Being, God Almighty, Maker, Allah, deity, omnipotent, king, abba, Omniscience, omniscient, God, creator, Providence, Omnipotence, Deus, providence, Divine, lording, Lord, lord, maker, Supreme Being, judge, Dominus, Heaven, All-father, Adonai, Father-God, divinity, Father
上臺	上台	shàng tái	enter
勺	勺	sháo	spoon, ladle, CL:把[ba3], abbr. for 公勺[gong1 shao2], centiliter (unit of volume)
舌頭	舌头	shétou	lingua, clack, tongue, clapper, ability to talk, glossa, enemy soldier captured to extract inform, enemy soldier captured to extract information, an enemy soldier captured for the purpose of extra
少兒	少儿	shàoér	child
設計師	设计师	shèjìshī	architect, designer, stylist
深化	深化	shēnhuà	to deepen, to intensify
涉及	涉及	shèjí	come to, pertain, involvement, implicate, entail, relate, cover, deal, concern, bear on, run_on, involve, touch on, refer, touch upon, deal with, touch, come_to, relate to
深深	深深	shēnshēn	deep, profound
審查	审查	shěnchá	examine, investigate
升級	升级	shēng jí	upgrade, go up (in grade/etc.), escalate
升學	升学	shēng xué	enter higher school
生活費	生活费	shēnghuófèi	cost of living, living expenses, alimony
省錢	省钱	shěngqián	to save money
升值	升值	shēngzhí	revalue, appreciate
聖誕節	圣诞节	Shèngdàn Jié	Christmas time, Christmas season, Christmas
師父	师父	shīfu	guru, address for nun/etc., teacher, tutor, address for monk, professional, master, nun, a polite form of address to a monk or nun, address for monk/nun/etc., etc.
盛行	盛行	shèngxíng	be current, be in vogue
時節	时节	shíjié	season, time
師生	师生	shī-shēng	teacher and student
時時	时时	shíshí	always, constantly, often
時期	时期	shíqī	epoch, season, date, period_of_time, phase, day, occasion, estate, period, length, period (of time), phase angle, stage, conjuncture, chapter, times, era, leg, guardianship
時裝	时装	shízhuāng	fashion, fashionable clothes
時而	时而	shíér	occasionally, from time to time
識	识	shí	know, recognize
實踐	实践	shíjiàn	practice
食慾	食欲	shíyù	appetite
市民	市民	shìmín	citizen, burgess, citizenry, metropolitan, townsman, townsfolk, town, towner, civic, residents of a city, townee, burgher, townspeople
試點	试点	shìdiǎn	test point, to carry out trial, pilot scheme
